English,Kanjobal,ENG_Document,KJB_Document,Line,Classification
"My brothers, some from Chloe's household have informed me that there are quarrels among you.","Chi waltok juntzan ti' ayex ex wuẍtak, ex wanab, yujtol max wab e k'umal yuj eb is familia Cloé, tolab lanan pitzc'oj aj owal e xol bay tu'.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,11,Religious
"What I mean is this: One of you says, “I follow Paul”; another, “I follow Apollos”; another, “I follow Cephas ”; still another, “I follow Christ.”","Tx'ok tx'okxac'al e k'anjab junjun ex chi wabtok. Ilab tol ay ex lananxa e yalon aj axca ti': Ayin ti' yet in Pablo, quex chi. Ay ex xin: Ayin ti' yet in Apolos, quex chi. Ay ex pax xin: Ayin ti' yet in Pedro, quex chi. Ay ex xin: Ayin ti' yet in Cristo, quex chi.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,12,Religious
Is Christ divided? Was Paul crucified for you? Were you baptized into the name of Paul?,"Palta, ¿tom pojquiẍtak yayji Cristo che na'? ¿Ma ayin max in cam yin curus e yuj che na'? Tokwal c'apax yin in bi ayin Pablo in ti', max ex ak'lay bautizar.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,13,Religious
"I am thankful that I did not baptize any of you except Crispus and Gaius,","Yuj wal dios, yujtol man xiwilok ex max ex wak' bautizar bay tu', ti' asannej juẍtak Crispo yetok juẍtak Gayo max wak' bautizar.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,14,Religious
so no one can say that you were baptized into my name.,"Yuj tu xin, c'am chi je' e yaloni, tol yin in bi ak'bil excan bautizar.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,15,Religious
"(Yes, I also baptized the household of Stephanas; beyond that, I don't remember if I baptized anyone else.)",A… toch'okta' tol wak'nak c'apaxcan bautizar Estéfanas yetokc'al eb cajan yetok. Asan eb tu' bian; c'amxa junokxa ak'bil bautizar wuj chi wut in naontok.,1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,16,Religious
"For Christ did not send me to baptize, but to preach the gospel–not with words of human wisdom, lest the cross of Christ be emptied of its power.","Manwalnak ak'oj bautizar tu' wopiso yuj Cristo, palta a aloj el k'anejal yet colbanilej. Manak yetok k'anejal jelanilal walnak jun abix tu', yet watx' aokab camichal Cristo yin curus miman yelapnok yul sat eb chi abxalwi tu'.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,17,Religious
"For the message of the cross is foolishness to those who are perishing, but to us who are being saved it is the power of God.","A yabixal camichal Cristo yin te curus, c'am yelapnok yul sat eb anima chi c'ayic'ok. A pax yul co sat ayon lanan co colchaj ti', yipalil Dios yayji yabixal tu'.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,18,Religious
For it is written: “I will destroy the wisdom of the wise; the intelligence of the intelligent I will frustrate.”,"Yujtol chi yal yul tx'an Un Tz'ibbilcan axca ti': A is jelanil eb jelan, ok wak' c'ayajok, c'al yetok is yaj nabalil eb aj nabal, ẍi yul tx'an Un tu'.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,19,Religious
Where is the wise man? Where is the scholar? Where is the philosopher of this age? Has not God made foolish the wisdom of the world?,"Yuj tu xin, tok ay jabok yopiso eb jelan, yetok eb meẍtol. C'am c'apax yopiso eb jelan yin teyelejbail. Tx'oxnakxa Dios tol a jelanil yulyibank'inal ti', c'am jabok yelapnok.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,20,Religious
"For since in the wisdom of God the world through its wisdom did not know him, God was pleased through the foolishness of what was preached to save those who believe.","Yuj jelanil Dios xan max el yin is c'ul, tol c'am chi ojtaknelay el Cham yuj eb yet yulyibank'inal ti' yuj is jelanil eb. Palta max el yin c'ul Cham tol ayon chi jaoc Cham yin co c'ul, chon colchaj yuj jun k'anejal yet colbanilej, tol c'am yelapnok yul sat anima tu'.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,21,Religious
"Jews demand miraculous signs and Greeks look for wisdom,","A eb wet israelal, chi yochej eb chi yil is milagro Dios. A pax eb griego xin, a jelanilal chi yochej eb.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,22,Religious
"but we preach Christ crucified: a stumbling block to Jews and foolishness to Gentiles,","Axa ayon xin, a yabixal is camichal Cristo yin te curus chi jalilok. A eb wet conob tu', yob yali chi yab eb. Ac'ala' c'apax eb man israelok, c'am yelapnok jun abix ti' yul sat eb.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,23,Religious
"but to those whom God has called, both Jews and Greeks, Christ the power of God and the wisdom of God.","Palta a yul co sat mac on awtebil onxa yuj Dios ti xin, caxc'al israel on, ma maon israelok, jojtak, tol ayoc yipalil c'al jelanil Dios yin Cristo.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,24,Religious
"For the foolishness of God is wiser than man's wisdom, and the weakness of God is stronger than man's strength.","Yujtol max yak' Dios cam Cristo yin curus, xan axca tol c'am nabal Dios naon anima. Palta a yin camichal tu' max tx'oxk'abnej el Cham, tol ec'ban jelanil Cham yintak jelanil eb anima. Ac'ala' chi naon eb tol c'am yipal Dios, palta max tx'ox Dios tol ec'ban yipal yiban yipalil anima.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,25,Religious
"Brothers, think of what you were when you were called. Not many of you were wise by human standards; not many were influential; not many were of noble birth.","Ex wuẍtak, ex wanab, yowalil chi nachaj el juj, tzetbil jayji mac on awtebil on yuj Dios. Yujtol jaywannej eb jelan yul sat anima chi yawtej oc Dios yetok, jaywannej eb yajaw, jaywannej mac miman yelapnok max yawtej oc Dios yetok.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,26,Religious
But God chose the foolish things of the world to shame the wise; God chose the weak things of the world to shame the strong.,"Yujtol a eb c'am nabal yul sat anima yulyibank'inal ti', a eb chi siq'uil Dios, yuj yilay el q'uixwil eb jelan naoni. Yetok eb c'am yelapnok jabok yul sat anima, a eb chi siq'uil Cham yuj yilay el q'uixwil eb miman yelapnok naoni.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,27,Religious
"He chose the lowly things of this world and the despised things–and the things that are not–to nullify the things that are,","A mac c'am jabok yopiso yul sat anima, c'al mac intaknebil elok, a eb tu' chi siq'uil Dios. Tix ton chi yut tx'oxon el Dios ti', tol a mac miman yelapnok yul sat anima, c'am jabok yelapnok yul sat Cham.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,28,Religious
so that no one may boast before him.,"Yuj tu', c'am junok mactxel chi je' maynen ba satak Dios.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,29,Religious
"It is because of him that you are in Christ Jesus, who has become for us wisdom from God–that is, our righteousness, holiness and redemption.","Palta a wal caw Cham max on junanencan yetok Cristo Jesús, cax max yak'on jelanil Cristo co jelanilok. Yuj Cristo xan watx' on yul sat Dios. Yuj c'apaxok, xan max on yioc yetok. Yetok c'apaxok, yuj Cristo xan, colchajnak onxa elok.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,30,Religious
"Therefore, as it is written: “Let him who boasts boast in the Lord.”","Tz'ibbilcan yul tx'an Un axca ti': Man yujok tzetbil jayji, xan chi jak' tzalojbok co c'ul; palta chi jak' tzalojbok co c'ul yuj tzetbil yayji Cham Jajawil, ẍi tx'an.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,31,Religious
"For I do not want you to be ignorant of the fact, brothers, that our forefathers were all under the cloud and that they all passed through the sea.","Ex wuẍtak, ex wanab, chi wochej che yojtaknej elok, tzet yunnak eb jichmam yet payxa, yet tzakan oc eb yintak Moisés. Masanil eb max beytoj yalan jun asun, cax masanil eb ec'naktok eb nan a' mar.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,1,Religious
They were all baptized into Moses in the cloud and in the sea.,"Axca tol ak'bil bautizar eb yuj jun asun tu', yetok yuj a' mar tu'. Axca tol ocnak eb yetok Moisés yet jun tiempoal tu'.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,2,Religious
They all ate the same spiritual food,"Masanil eb, max lo eb jun loj axca tol yin esalil ak'bil bay eb yuj Dios.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,3,Religious
"and drank the same spiritual drink; for they drank from the spiritual rock that accompanied them, and that rock was Christ.","Yetok c'apaxok, masanil eb yuc'nak eb jun a' aej, axca tol yin esalil ak'bil bay eb yuj Dios. Sat ch'en elnaktek a' aej tu'. A jun ch'en tu', a Cristo chi tx'oxtek.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,4,Religious
"Nevertheless, God was not pleased with most of them; their bodies were scattered over the desert.","Caxc'al axca tu' yunnak eb, palta ac'ala' xiwil eb man watx'ok yul sat Dios. Yuj tu' xan sakleminak max yuncantok is mimanil eb bay takin tx'otx' bay ec'nak eb tu'.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,5,Religious
Now these things occurred as examples to keep us from setting our hearts on evil things as they did.,"A tzet jaynak yiban eb tu', co tx'oxbanilok yayji, yet watx' manchak jochej oc tzet man watx'ok, axca yutnak ba eb tu'.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,6,Religious
"Do not be idolaters, as some of them were; as it is written: “The people sat down to eat and drink and got up to indulge in pagan revelry.”","Yuj tu', c'am chi je' jalon co ba bay tzet chi al-lay oc diosal, axca yutnak ba juntzan eb xol eb tu'. A tx'an Un Tz'ibbilcanok, a tx'an chi alontek yabixal eb. Chi yal tx'an axca ti': Max ay chotjab eb, max low eb c'al yuq'uen a' eb. Lajwi tu', max aj bulnaj eb canalwi, c'al yunen eb yobtakil satak is diosal tu', ẍi tx'an Un tu'.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,7,Religious
"We should not commit sexual immorality, as some of them did–and in one day twenty-three thousand of them died.","Manchak c'apax on toj yin ajmulal, yujtol axca tu' yutnak ba juntzan eb tu'. Yuj tu' xan junnej c'u max yun camay latz'naj 23,000 eb.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,8,Religious
"We should not test the Lord, as some of them did–and were killed by snakes.",Manchak jak' porobal Cham Jajawil axca yutnak ba juntzan eb tu'. Yuj tu' xan lajwinak el eb yuj juntzan no labaj.,1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,9,Religious
"And do not grumble, as some of them did–and were killed by the destroying angel.","Man comonok chon alxi aj yin Cham Jajawil, axca yutnak ba juntzan eb tu'. Yuj tu' xan lajwinak el eb yuj jun ángel ay yopiso mak'wi cam anima.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,10,Religious
"These things happened to them as examples and were written down as warnings for us, on whom the fulfillment of the ages has come.","Masanilc'al tzet jaynak yiban eb jichmam tu', co tx'oxbanilok yayji. Tz'ibbilcan yabixal yul tx'an Un, yet watx' chi jojtaknej elok tol ay is may ta chi oc co yobtakil. Yujtol ayon ti', lajub tiempoalxa bay ayon ec'ok.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,11,Religious
"So, if you think you are standing firm, be careful that you don't fall!","Yuj tu', a mac tec'an waay naoni, camokab yak'on cuenta ba, yujtol ay is may chi etax el is nabal.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,12,Religious
"No temptation has seized you except what is common to man. And God is faithful; he will not let you be tempted beyond what you can bear. But when you are tempted, he will also provide a way out so that you can stand up under it.","Tzanc'al porobalil chi jay jiban, lajanc'al yetok porobalil chi jay yiban masanil anima. Palta chic'al yun Dios bay chi yala', man ok on is cha' ak'lay porobal yin junok tzet yetal tol c'am chi techaj juj. A yet chi jay junok porobal tu', a Cham chi colwaji, yin tzetbil chi jut co colon co ba bay, yet watx' chi techaj juj.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,13,Religious
"Therefore, my dear friends, flee from idolatry.","Yuj tu xin ex in camc'ulnebil, caw che yiel e ba bay junok tzet chi al-lay oc diosal.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,14,Religious
I speak to sensible people; judge for yourselves what I say.,Chi waltok juntzan ti' ayex tol ayxa e jelanil. Chi cam e naobtanen sic'libil ta yel chi wala'.,1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,15,Religious
Is not the cup of thanksgiving for which we give thanks a participation in the blood of Christ? And is not the bread that we break a participation in the body of Christ?,"A jun is vaso Dios chi jal yuj diosalil yuj, a chi tx'oxoni, tol junxanej jayji yetok Cristo yujtol jujc'al, xan max el is chiq'uil. Ac'ala' c'apax ixim pan chi pojlay ec' co xol, chi tx'ox c'apax el ixim, tol junxanej ton jayji yetok Cham, yujtol jujc'al, xan max ak'lay cam is mimanil.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,16,Religious
"Because there is one loaf, we, who are many, are one body, for we all partake of the one loaf.","Caxc'al xiwil on, junnej ixim pan tu' chi co lo' co masanil. Yuj tu' xan axca ton jun pan tu', jun ch'an, cayon c'apax tu', yujtol axca tol junxanej mimanil Cristo jayji co masanil.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,17,Religious
Consider the people of Israel: Do not those who eat the sacrifices participate in the altar?,"Naek jabok wetok tzet chi yut ba eb wet israelal. A eb chi chion tzet chi yak' yin xajanbalil, junxanej yayji oc eb yetok Dios, Cham chi chaon xajanbalej tu'.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,18,Religious
"Do I mean then that a sacrifice offered to an idol is anything, or that an idol is anything?","Man lananok waloni tol ay yelapnok tzet chi al-lay oc diosal tu', ac'ala' c'apax tzet chi ak'lay yin xajanbalil tu', man lananok waloni tol ay yelapnok.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,19,Religious
"No, but the sacrifices of pagans are offered to demons, not to God, and I do not want you to be participants with demons.","Palta tix tzet chi yochej in c'ul chi wal ti'. A yet chi yak'on eb man israelok is xajanbal, manak bay Dios chi yak' eb, palta tol a bay eb espíritu yob chi yak' eb is xajanbal tu'. Chi wochej c'am junok ex che yaoc e ba yetok eb espíritu yob tu'.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,20,Religious
You cannot drink the cup of the Lord and the cup of demons too; you cannot have a part in both the Lord's table and the table of demons.,"C'am chi je' comonc'al chi juc'balnej is vaso Cham Jajawil, ta chi juc'balnej pax is vaso eb espíritu yob tu'. Yetok c'apaxok, c'am chi je' comonc'al chi co lo' ixim pan chi eltek ayon yiban meẍa Cham Jajawil, ta chi co chi' pax tzet chi batxbalay ajtok yiban meẍa yet k'in eb espíritu yob tu'.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,21,Religious
Are we trying to arouse the Lord's jealousy? Are we stronger than he?,¿Ma chi jochej chi jitek yowal c'ul Cham Jajawil jiban? ¿Xin ta yel chi lajoc jipal yintak Cham?,1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,22,Religious
“Everything is permissible”–but not everything is beneficial. “Everything is permissible”–but not everything is constructive.,"Tekan ayex che yal axca ti' tinani': Bekan jayji junen masanil tzet yetal, tekan quex chi. Yel toni, palta man mojok junen masanil tzet yetal. Yel ton xin, chi je' junen masanil tzetak yetal, palta man masanilok tzetak yetal tu' chi ak'on tec'anil co nabal.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,23,Religious
"Nobody should seek his own good, but the good of others.",Man mojok tol asan co watx'il yul jet chi co saya'. Yowalil chi co saya' tzetbil chi jut jak'on tec'anil juntzanokxa eb.,1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,24,Religious
"Eat anything sold in the meat market without raising questions of conscience,","A tinani', tzanc'al tzet chibejal chi txonlay txonbal, chi je' e manon e chi'. Manchak e k'anlej bay chi ca tita, yet watx' manchak etax el nabal eb chi abeni.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,25,Religious
"for, “The earth is the Lord's, and everything in it.”","Yujtol a Cham Jajawil ay yet tx'otx' tx'otx' ti', c'al masanil tzet yetal ibil aj yuj tx'otx', c'al eb cajyom bay.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,26,Religious
"If some unbeliever invites you to a meal and you want to go, eat whatever is put before you without raising questions of conscience.","K'inalok ay junok man creyenteok chex awten low yetok bay yatut. Ta chi yochej e c'ul chex toji, chic'al je' e loon tzet chi yak' ayex. Man e k'anlej bay, bay chi ca tit tzet chi yetxbaj eltek e satak tu', yet watx' manchak etax el nabal eb chi abeni.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,27,Religious
"But if anyone says to you, “This has been offered in sacrifice,” then do not eat it, both for the sake of the man who told you and for conscience' sake –","Palta ta ay junok mac chi alon ayex axca ti xin: A no chibej chi yak' nak ti' e chi', max ak'lay no' yin xajanbalil, ta ẍi ayex, manchak e chi', yujtol a mac chi alon ayex tu', ay is may chi etax el is nabal e yuj ta che chi'.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,28,Religious
"the other man's conscience, I mean, not yours. For why should my freedom be judged by another's conscience?","Chi waltok juntzan ti' ayex, yet watx' man e yujok chi somchaj eb c'amto tec'anil is nabal. Palta tekan ayex ok e yal axca ti' tinani': Ayon ti', chic'al je' co chion masanil tzet yetal. Yuj tu', ¿tzet yuj xan chon is beyc'ulnej eb chi xiw chion chibej tu'?",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,29,Religious
"If I take part in the meal with thankfulness, why am I denounced because of something I thank God for?","Ta chi jal yuj diosalil bay Dios yuj no chibej tu', cax chi co chion no', c'am mac ay yalon yet yalon tzet yob jin, quex chi mi.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,30,Religious
"So whether you eat or drink or whatever you do, do it all for the glory of God.","Palta chi waltok ayex, caxc'al chon lowi, ma chi juc'a', ma tzanc'al tzet yetal junokxa chi el juneni, junokabi yet watx' chi txecloj el is watx'ilal Dios.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,31,Religious
"Do not cause anyone to stumble, whether Jews, Greeks or the church of God–","Caxc'al israel junok mactxel, ma caxc'al man israelok, caw c'am chi je' jak'on etax el nabal eb. Yetok c'apax eb jet creyenteal, maj je' jak'on etax el nabal eb.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,32,Religious
"even as I try to please everybody in every way. For I am not seeking my own good but the good of many, so that they may be saved.","Ayin ti', chi wak'lej wak'on tzaloj c'ul eb wet animail yin masanil tzet chi el wuneni. Manak tzet chi oc in watx'ilok chin saya', palta a tzet chi oc watx'ilok juntzanokxa anima chin saya', yet watx' talaj ay eb chi colchajcan elok.",1CO-10-ENGNIV.txt,1CO-10-KJBSBG.txt,33,Religious
"Follow my example, as I follow the example of Christ.","Yuj tu', beybalnejek in beybal, axca chi wut c'apax in beybalnen beybal Cristo.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,1,Religious
"I praise you for remembering me in everything and for holding to the teachings, just as I passed them on to you.","Ex wuẍtak, ex wanab, chex wal watx'il, yujtol naan inc'al e yuj masanil tiempo, c'al yuj lanan e beybalnen juntzan cuybej walnakcan ayex.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,2,Religious
"Now I want you to realize that the head of every man is Christ, and the head of the woman is man, and the head of Christ is God.","Palta chi wochej che yojtaknej elok, tol a Cristo ayoc is yajawilok junjun winak, axca tol is jolom yayji ocok. Axa nak yichamil ix ix, a nak ayoc is yajawilok ix, axca Dios, yajawil Cristo yayji.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,3,Religious
Every man who prays or prophesies with his head covered dishonors his head.,"Tzanc'al mac winakil ayaj k'oxil yet chi txajli, ma yet chi yalon el k'anej Dios, ac'al oc chi yak' q'uixwan ba.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,4,Religious
And every woman who prays or prophesies with her head uncovered dishonors her head–it is just as though her head were shaved.,"Ac'ala' c'apax eb ix ix tol c'am aj k'oxil yet chi txajli ma yet chi yalon el k'anej Dios, chi yak' q'uixwan eb jolom, axca tol tzukbil el jolom eb tu'.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,5,Religious
"If a woman does not cover her head, she should have her hair cut off; and if it is a disgrace for a woman to have her hair cut or shaved off, she should cover her head.","Ta ay eb c'am chi yal c'ul chi yaj k'oxil, tzukokab el eb jolom tu xin. Ta chi q'uixwi eb tzukon el jolom, yaokab aj eb is k'oxil.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,6,Religious
"A man ought not to cover his head, since he is the image and glory of God; but the woman is the glory of man.","A ayon winak on ti', man mojok chi jaaj co k'oxil, yujtol axca tol yechel Dios jayji, tx'oxomal el is mimanbilal Cham jayji. Axa eb ix ix, tx'oxomalok el is mimanbilal nak winak yayji eb ix.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,7,Religious
"For man did not come from woman, but woman from man;","Yujtol a yet max watx'nen Dios nak babel winak, man yinok ix ix elnaktek nak winak tu'. A ix ix tu' a yin nak winak tu' elnaktek ix.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,8,Religious
"neither was man created for woman, but woman for man.","A ix ix tu', watx'nebil ix yuj yoc ix yetbiok nak winak. Man yujok watx'ilok ix, xan max watx'ji nak winak tu'.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,9,Religious
"For this reason, and because of the angels, the woman ought to have a sign of authority on her head.","Yuj tu' xan moj yaon aj eb ix k'oxil is jolom, yuj tx'oxk'abnen el eb ix, tol ayoc eb ix yalan yikbej yichamil. Moj axca tu' chi yut ba eb ix, yuj t'anan c'apax oc eb ángel jin.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,10,Religious
"In the Lord, however, woman is not independent of man, nor is man independent of woman.","Palta chi yochej Cham Jajawil tol ayokab yelapnok eb ix yul co sat ayon winak on ti', cax chi yochen c'apaxok tol ayokab jelapnok yul sat eb ix c'apaxok.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,11,Religious
"For as woman came from man, so also man is born of woman. But everything comes from God.","Yel toni, a yin nak babel winak tu' elnaktek ix babel ix, palta a tinani', a yin eb ix ix chon pitzc'oj elok. Palta masanil, ac'al ton Dios max naoni.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,12,Religious
Judge for yourselves: Is it proper for a woman to pray to God with her head uncovered?,"Beyc'ulnejek el sic'libil ayex caw, ¿moj mi chi txajli junok ix bay Dios, ta c'am tzet ayaj yin is jolom?",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,13,Religious
"Does not the very nature of things teach you that if a man has long hair, it is a disgrace to him,","Jojtak co masanil tol q'uixwil, ta jokan xil co jolom axca xil jolom eb ix.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,14,Religious
"but that if a woman has long hair, it is her glory? For long hair is given to her as a covering.","Watx' yili eb ix ix, yujtol jokan tel xil jolom eb. A xil jolom eb ix tu' ayoc is k'oxilok.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,15,Religious
"If anyone wants to be contentious about this, we have no other practice–nor do the churches of God.","Ta ayex chi tit e yowal yuj juntzan cuybanilej ti', yowalil chi nachaj el e yuj, tol ayon ti', c'am chi co cha' junokxa tx'ok beybalej. Ac'ala' c'apax eb creyente bay junjun yiglesia Dios, c'am chi cha eb junokxa tx'ok beybalej.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,16,Religious
"In the following directives I have no praise for you, for your meetings do more harm than good.","Ay juntzanxa tzet ok waltok ayex. Palta majto je' ex walon watx'il, yujtol ayex aytoc'al e paltail. Yujtol a yet che wajban e ba bay tu', c'am jabok watx'ilal che cha', toc'al chex etaxcan el yuj.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,17,Religious
"In the first place, I hear that when you come together as a church, there are divisions among you, and to some extent I believe it.","Yuj tu' xan a jun ti' ok babjok walontok ayex. Chi wabej tol a ab yet che wajban e ba yin e culto, ay ab pojlejbail e xol. A chi wut in naoni, tekan yel juntzan chi wab tu'.",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,18,Religious
No doubt there have to be differences among you to show which of you have God's approval.,"(¡Tekan yowalil ok ex pojchajc'alta'a, yet watx' chi txecloj elok, mac caw yel creyente!)",1CO-11-ENGNIV.txt,1CO-11-KJBSBG.txt,19,Religious
